purchase_order_id,po_number,supplier_id,order_date,currency,order_status,transport_mode,port_of_entry,created_at,updated_at
PO-0028,PO2026-00028,SUP-COD-02,2026-05-29,EUR,CONFIRMED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0029,PO2026-00029,SUP-CHN-02,2026-03-02,KRW,CONFIRMED,AIR,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0030,PO2026-00030,SUP-IDN-02,2026-06-23,EUR,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0031,PO2026-00031,SUP-AUS-01,2026-07-12,EUR,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0032,PO2026-00032,SUP-KOR-02,2026-07-06,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0033,PO2026-00033,SUP-CHN-02,2026-05-13,EUR,CLOSED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0034,PO2026-00034,SUP-CHL-01,2026-06-27,USD,PARTIALLY_RECEIVED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0035,PO2026-00035,SUP-KOR-02,2026-06-11,EUR,DELAYED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0036,PO2026-00036,SUP-IDN-02,2026-05-21,USD,CLOSED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0037,PO2026-00037,SUP-BRA-01,2026-06-11,USD,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0038,PO2026-00038,SUP-IDN-02,2026-07-11,EUR,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0039,PO2026-00039,SUP-IDN-01,2026-03-27,KRW,DELAYED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0040,PO2026-00040,SUP-FIN-01,2026-03-26,USD,CONFIRMED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0041,PO2026-00041,SUP-CHN-02,2026-05-13,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0042,PO2026-00042,SUP-CAN-01,2026-07-01,KRW,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0043,PO2026-00043,SUP-CAN-01,2026-05-18,EUR,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0044,PO2026-00044,SUP-ZAF-01,2026-06-05,KRW,DELAYED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0045,PO2026-00045,SUP-CHN-01,2026-04-13,EUR,CONFIRMED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0046,PO2026-00046,SUP-IDN-01,2026-03-30,USD,CLOSED,RAIL,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0047,PO2026-00047,SUP-CHL-01,2026-03-16,USD,PARTIALLY_RECEIVED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0048,PO2026-00048,SUP-BRA-01,2026-04-24,KRW,DELAYED,AIR,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0049,PO2026-00049,SUP-KOR-02,2026-03-03,USD,DELAYED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0050,PO2026-00050,SUP-CHL-01,2026-04-17,USD,CLOSED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0051,PO2026-00051,SUP-AUS-01,2026-06-17,EUR,CONFIRMED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0052,PO2026-00052,SUP-CHL-01,2026-05-30,USD,CLOSED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0053,PO2026-00053,SUP-BRA-01,2026-05-05,EUR,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0054,PO2026-00054,SUP-KOR-01,2026-04-15,USD,CONFIRMED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0055,PO2026-00055,SUP-CHL-01,2026-06-30,USD,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0056,PO2026-00056,SUP-BRA-01,2026-07-01,KRW,PARTIALLY_RECEIVED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0057,PO2026-00057,SUP-COD-02,2026-04-17,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0058,PO2026-00058,SUP-KOR-02,2026-04-02,USD,PARTIALLY_RECEIVED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0059,PO2026-00059,SUP-IDN-01,2026-06-29,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0060,PO2026-00060,SUP-COD-02,2026-04-19,KRW,DELAYED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0061,PO2026-00061,SUP-IDN-01,2026-06-01,KRW,DELAYED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0062,PO2026-00062,SUP-CAN-01,2026-02-19,KRW,CONFIRMED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0063,PO2026-00063,SUP-CHN-01,2026-05-16,USD,DELAYED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0064,PO2026-00064,SUP-DEU-01,2026-04-03,USD,CONFIRMED,RAIL,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0065,PO2026-00065,SUP-IDN-02,2026-04-29,USD,CLOSED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0066,PO2026-00066,SUP-CHL-01,2026-03-08,EUR,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0067,PO2026-00067,SUP-CHN-01,2026-06-08,USD,CONFIRMED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0068,PO2026-00068,SUP-IDN-02,2026-05-09,USD,PARTIALLY_RECEIVED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0069,PO2026-00069,SUP-COD-01,2026-03-03,KRW,DELAYED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0070,PO2026-00070,SUP-CAN-01,2026-02-22,USD,DELAYED,AIR,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0071,PO2026-00071,SUP-USA-01,2026-03-06,EUR,DELAYED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0072,PO2026-00072,SUP-COD-01,2026-04-03,KRW,DELAYED,AIR,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0073,PO2026-00073,SUP-JPN-01,2026-06-25,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0074,PO2026-00074,SUP-KOR-01,2026-07-09,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0075,PO2026-00075,SUP-KOR-01,2026-07-05,USD,PARTIALLY_RECEIVED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0076,PO2026-00076,SUP-JPN-01,2026-05-05,KRW,DELAYED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0077,PO2026-00077,SUP-BRA-01,2026-03-12,EUR,CLOSED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0078,PO2026-00078,SUP-AUS-01,2026-06-12,KRW,CONFIRMED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0079,PO2026-00079,SUP-ZAF-01,2026-03-20,USD,PARTIALLY_RECEIVED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0080,PO2026-00080,SUP-AUS-01,2026-03-14,EUR,PARTIALLY_RECEIVED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0081,PO2026-00081,SUP-COD-01,2026-04-13,KRW,CONFIRMED,AIR,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0082,PO2026-00082,SUP-CHL-01,2026-07-02,EUR,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0083,PO2026-00083,SUP-FIN-01,2026-06-27,USD,CLOSED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0084,PO2026-00084,SUP-KOR-01,2026-03-01,KRW,CLOSED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0085,PO2026-00085,SUP-FIN-01,2026-06-20,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0086,PO2026-00086,SUP-COD-02,2026-05-24,KRW,DELAYED,AIR,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0087,PO2026-00087,SUP-IDN-01,2026-06-22,USD,CONFIRMED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0088,PO2026-00088,SUP-CAN-01,2026-07-04,EUR,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0089,PO2026-00089,SUP-DEU-01,2026-03-23,EUR,DELAYED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0090,PO2026-00090,SUP-USA-01,2026-06-30,EUR,DELAYED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
