inventory_snapshot_id,material_id,warehouse_id,on_hand_quantity,reserved_quantity,blocked_quantity,quality_hold_quantity,safety_stock_quantity,snapshot_at,is_current,source_unit,normalized_unit,data_quality_flag
INV-0024,MAT-LI-OH,WH-BUS-01,3696,217,99,79,2700,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0025,MAT-NI-SULF,WH-ICN-01,9178,247,112,90,6800,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0026,MAT-NI-SULF,WH-ICN-01,6275,247,112,90,6800,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0027,MAT-NI-SULF,WH-ICN-01,4189,247,112,90,6800,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0028,MAT-NI-SULF,WH-ULS-01,6918,203,92,74,5600,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0029,MAT-NI-SULF,WH-ULS-01,5645,203,92,74,5600,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0030,MAT-NI-SULF,WH-ULS-01,3450,203,92,74,5600,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0031,MAT-NI-SULF,WH-GMI-01,6007,167,76,61,4600,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0032,MAT-NI-SULF,WH-GMI-01,4484,167,76,61,4600,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0033,MAT-NI-SULF,WH-GMI-01,2834,167,76,61,4600,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0034,MAT-NI-SULF,WH-BUS-01,3737,109,50,39,3000,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0035,MAT-NI-SULF,WH-BUS-01,3000,109,50,39,3000,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0036,MAT-NI-SULF,WH-BUS-01,1847,109,50,39,3000,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0037,MAT-CO-SULF,WH-ICN-01,6336,146,66,53,6120,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0038,MAT-CO-SULF,WH-ICN-01,4551,146,66,53,6120,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0039,MAT-CO-SULF,WH-ICN-01,2475,146,66,53,6120,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0040,MAT-CO-SULF,WH-ULS-01,5403,120,55,44,5040,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0041,MAT-CO-SULF,WH-ULS-01,4070,120,55,44,5040,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0042,MAT-CO-SULF,WH-ULS-01,2038,120,55,44,5040,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0043,MAT-CO-SULF,WH-GMI-01,4514,99,45,36,4140,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0044,MAT-CO-SULF,WH-GMI-01,3096,99,45,36,4140,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0045,MAT-CO-SULF,WH-GMI-01,1674,99,45,36,4140,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0046,MAT-CO-SULF,WH-BUS-01,3318,64,29,23,2700,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0047,MAT-CO-SULF,WH-BUS-01,2125,64,29,23,2700,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0048,MAT-CO-SULF,WH-BUS-01,1093,64,29,23,2700,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0049,MAT-GR-NAT,WH-ICN-01,9189,314,143,114,5984,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0050,MAT-GR-NAT,WH-ICN-01,7446,314,143,114,5984,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0051,MAT-GR-NAT,WH-ICN-01,5331,314,143,114,5984,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0052,MAT-GR-NAT,WH-ULS-01,7314,259,118,94,4928,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0053,MAT-GR-NAT,WH-ULS-01,5889,259,118,94,4928,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0054,MAT-GR-NAT,WH-ULS-01,4390,259,118,94,4928,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0055,MAT-GR-NAT,WH-GMI-01,6673,213,97,77,4048,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0056,MAT-GR-NAT,WH-GMI-01,5060,213,97,77,4048,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0057,MAT-GR-NAT,WH-GMI-01,3606,213,97,77,4048,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0058,MAT-GR-NAT,WH-BUS-01,4304,138,62,51,2640,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0059,MAT-GR-NAT,WH-BUS-01,3285,138,62,51,2640,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0060,MAT-GR-NAT,WH-BUS-01,2353,138,62,51,2640,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0061,MAT-GR-SYN,WH-ICN-01,5318,135,61,49,4080,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0062,MAT-GR-SYN,WH-ICN-01,3448,135,61,49,4080,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0063,MAT-GR-SYN,WH-ICN-01,2285,135,61,49,4080,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0064,MAT-GR-SYN,WH-ULS-01,4209,111,50,40,3360,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0065,MAT-GR-SYN,WH-ULS-01,2974,111,50,40,3360,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0066,MAT-GR-SYN,WH-ULS-01,1882,111,50,40,3360,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0067,MAT-GR-SYN,WH-GMI-01,3175,91,41,33,2760,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0068,MAT-GR-SYN,WH-GMI-01,2635,91,41,33,2760,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0069,MAT-GR-SYN,WH-GMI-01,1546,91,41,33,2760,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0070,MAT-GR-SYN,WH-BUS-01,2030,59,28,22,1800,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0071,MAT-GR-SYN,WH-BUS-01,1726,59,28,22,1800,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0072,MAT-GR-SYN,WH-BUS-01,1007,59,28,22,1800,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0073,MAT-MN-SULF,WH-ICN-01,4760,281,128,102,5440,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0074,MAT-MN-SULF,WH-ICN-01,4760,281,128,102,5440,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0075,MAT-MN-SULF,WH-ICN-01,4760,281,128,102,5440,2026-07-18T08:00:00+09:00,true,KG,KG,STALE
INV-0076,MAT-MN-SULF,WH-ULS-01,3920,231,105,84,4480,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0077,MAT-MN-SULF,WH-ULS-01,3920,231,105,84,4480,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0078,MAT-MN-SULF,WH-ULS-01,3920,231,105,84,4480,2026-07-18T09:00:00+09:00,true,KG,KG,STALE
INV-0079,MAT-MN-SULF,WH-GMI-01,3220,190,86,69,3680,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0080,MAT-MN-SULF,WH-GMI-01,3220,190,86,69,3680,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0081,MAT-MN-SULF,WH-GMI-01,3220,190,86,69,3680,2026-07-18T10:00:00+09:00,true,KG,KG,STALE
INV-0082,MAT-MN-SULF,WH-BUS-01,2100,123,56,45,2400,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0083,MAT-MN-SULF,WH-BUS-01,2100,123,56,45,2400,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0084,MAT-MN-SULF,WH-BUS-01,2100,123,56,45,2400,2026-07-18T11:00:00+09:00,true,KG,KG,STALE
INV-0085,MAT-CU-FOIL,WH-ICN-01,11864,404,184,147,8568,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0086,MAT-CU-FOIL,WH-ICN-01,10153,404,184,147,8568,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0087,MAT-CU-FOIL,WH-ICN-01,6854,404,184,147,8568,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0088,MAT-CU-FOIL,WH-ULS-01,10857,333,151,121,7056,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0089,MAT-CU-FOIL,WH-ULS-01,8111,333,151,121,7056,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0090,MAT-CU-FOIL,WH-ULS-01,5645,333,151,121,7056,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0091,MAT-CU-FOIL,WH-GMI-01,8162,273,124,99,5796,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0092,MAT-CU-FOIL,WH-GMI-01,6944,273,124,99,5796,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0093,MAT-CU-FOIL,WH-GMI-01,4637,273,124,99,5796,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0094,MAT-CU-FOIL,WH-BUS-01,5373,178,81,65,3780,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0095,MAT-CU-FOIL,WH-BUS-01,4247,178,81,65,3780,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0096,MAT-CU-FOIL,WH-BUS-01,3024,178,81,65,3780,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0097,MAT-AL-FOIL,WH-ICN-01,14423,628,286,228,5508,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0098,MAT-AL-FOIL,WH-ICN-01,12668,628,286,228,5508,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0099,MAT-AL-FOIL,WH-ICN-01,10662,628,286,228,5508,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0100,MAT-AL-FOIL,WH-ULS-01,12414,517,235,188,4536,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0101,MAT-AL-FOIL,WH-ULS-01,10413,517,235,188,4536,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0102,MAT-AL-FOIL,WH-ULS-01,8781,517,235,188,4536,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0103,MAT-AL-FOIL,WH-GMI-01,10582,425,193,155,3726,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0104,MAT-AL-FOIL,WH-GMI-01,8572,425,193,155,3726,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0105,MAT-AL-FOIL,WH-GMI-01,7213,425,193,155,3726,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0106,MAT-AL-FOIL,WH-BUS-01,6827,278,126,101,2430,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0107,MAT-AL-FOIL,WH-BUS-01,5775,278,126,101,2430,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0108,MAT-AL-FOIL,WH-BUS-01,4704,278,126,101,2430,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0109,MAT-REE-ND,WH-ICN-01,5679,202,92,73,2295,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0110,MAT-REE-ND,WH-ICN-01,4478,202,92,73,2295,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0111,MAT-REE-ND,WH-ICN-01,3427,202,92,73,2295,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0112,MAT-REE-ND,WH-ULS-01,4801,166,76,60,1890,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0113,MAT-REE-ND,WH-ULS-01,3790,166,76,60,1890,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0114,MAT-REE-ND,WH-ULS-01,2822,166,76,60,1890,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0115,MAT-REE-ND,WH-GMI-01,3504,137,62,50,1553,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0116,MAT-REE-ND,WH-GMI-01,3101,137,62,50,1553,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0117,MAT-REE-ND,WH-GMI-01,2318,137,62,50,1553,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0118,MAT-REE-ND,WH-BUS-01,2563,89,40,33,1012,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0119,MAT-REE-ND,WH-BUS-01,1916,89,40,33,1012,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0120,MAT-REE-ND,WH-BUS-01,1513,89,40,33,1012,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
