contract_id,contract_number,supplier_id,material_id,contract_name,contract_status,effective_date,expiration_date,document_id,document_source,document_path,contract_role,supplier_approval_status,indexed_at,updated_at
CTR-016,BA-2025-0016,SUP-CHN-02,MAT-GR-SYN,Synthetic Graphite Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-016,MOCK_INTERNAL,contracts/CTR-016.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-017,BA-2025-0017,SUP-JPN-01,MAT-GR-SYN,Synthetic Graphite Supply Agreement 2,PENDING,2025-07-27,2027-08-01,DOC-017,MOCK_INTERNAL,contracts/CTR-017.pdf,ALTERNATIVE,PENDING,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-018,BA-2025-0018,SUP-ZAF-01,MAT-MN-SULF,Manganese Sulfate Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-018,MOCK_INTERNAL,contracts/CTR-018.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-019,BA-2025-0019,SUP-BRA-01,MAT-MN-SULF,Manganese Sulfate Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-019,MOCK_INTERNAL,contracts/CTR-019.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-020,BA-2025-0020,SUP-KOR-02,MAT-MN-SULF,Manganese Sulfate Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-020,MOCK_INTERNAL,contracts/CTR-020.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-021,BA-2025-0021,SUP-JPN-01,MAT-CU-FOIL,Copper Foil Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-021,MOCK_INTERNAL,contracts/CTR-021.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-022,BA-2025-0022,SUP-KOR-02,MAT-CU-FOIL,Copper Foil Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-022,MOCK_INTERNAL,contracts/CTR-022.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-023,BA-2025-0023,SUP-DEU-01,MAT-CU-FOIL,Copper Foil Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-023,MOCK_INTERNAL,contracts/CTR-023.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-024,BA-2025-0024,SUP-KOR-02,MAT-AL-FOIL,Aluminum Foil Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-024,MOCK_INTERNAL,contracts/CTR-024.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-025,BA-2025-0025,SUP-JPN-01,MAT-AL-FOIL,Aluminum Foil Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-025,MOCK_INTERNAL,contracts/CTR-025.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-026,BA-2025-0026,SUP-DEU-01,MAT-AL-FOIL,Aluminum Foil Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-026,MOCK_INTERNAL,contracts/CTR-026.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-027,BA-2025-0027,SUP-CHN-01,MAT-REE-ND,Neodymium Oxide Supply Agreement 1,SUSPENDED,2025-07-07,2027-07-02,DOC-027,MOCK_INTERNAL,contracts/CTR-027.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-028,BA-2025-0028,SUP-USA-01,MAT-REE-ND,Neodymium Oxide Supply Agreement 2,PENDING,2025-07-27,2027-08-01,DOC-028,MOCK_INTERNAL,contracts/CTR-028.pdf,ALTERNATIVE,PENDING,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-033,BA-2025-0033,SUP-PHL-01,MAT-NI-SULF,Nickel Ore Supply Agreement (Philippines),ACTIVE,2025-09-01,2027-09-01,DOC-033,MOCK_INTERNAL,contracts/CTR-033.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-034,BA-2025-0034,SUP-ARG-01,MAT-LI-CARB,Lithium Carbonate Supply Agreement (Argentina),ACTIVE,2025-09-15,2027-09-15,DOC-034,MOCK_INTERNAL,contracts/CTR-034.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
