purchase_order_item_id,purchase_order_id,material_id,contract_id,ordered_quantity,received_quantity,unit,expected_arrival_date,confirmed_arrival_date,unit_price,incoterm,destination_warehouse_id
POI-0034,PO-0030,MAT-NI-SULF,CTR-008,6100,0,KG,2026-08-07,2026-08-07,41.1,DAP,WH-GMI-01
POI-0035,PO-0031,MAT-LI-OH,CTR-004,23400,0,KG,2026-08-17,2026-08-17,69.64,FOB,WH-ICN-01
POI-0036,PO-0032,MAT-MN-SULF,CTR-020,9300,0,KG,2026-09-05,2026-09-05,37.83,CIF,WH-ICN-01
POI-0037,PO-0032,MAT-CU-FOIL,CTR-022,19100,0,KG,2026-08-10,2026-08-10,43.97,CIF,WH-BUS-01
POI-0038,PO-0033,MAT-GR-SYN,CTR-016,25100,25100,KG,2026-04-10,2026-04-10,15.39,DAP,WH-BUS-01
POI-0039,PO-0034,MAT-LI-OH,CTR-005,18500,5100,KG,2026-09-08,2026-09-08,37.88,DAP,WH-ICN-01
POI-0040,PO-0034,MAT-LI-CARB,CTR-001,17500,3700,KG,2026-08-03,2026-08-03,50.83,DAP,WH-GMI-01
POI-0041,PO-0035,MAT-AL-FOIL,CTR-024,23200,0,KG,2026-08-14,2026-08-21,49.39,CIF,WH-BUS-01
POI-0042,PO-0035,MAT-CU-FOIL,CTR-022,5100,0,KG,2026-09-01,2026-09-08,42.36,FOB,WH-GMI-01
POI-0043,PO-0036,MAT-NI-SULF,CTR-008,5500,5500,KG,2026-06-04,2026-06-04,66.78,FOB,WH-ICN-01
POI-0044,PO-0037,MAT-MN-SULF,CTR-019,9900,0,KG,2026-08-29,2026-08-29,33.78,DAP,WH-GMI-01
POI-0045,PO-0038,MAT-NI-SULF,CTR-008,10100,0,KG,2026-08-07,2026-08-07,71.42,CIF,WH-GMI-01
POI-0046,PO-0039,MAT-NI-SULF,CTR-007,25300,0,KG,2026-08-11,2026-08-18,49.93,CIF,WH-ICN-01
POI-0047,PO-0040,MAT-NI-SULF,CTR-009,4400,0,KG,2026-08-21,2026-08-21,47.06,DAP,WH-BUS-01
POI-0048,PO-0041,MAT-GR-SYN,CTR-016,24100,11200,KG,2026-08-30,2026-08-30,30.85,CIF,WH-BUS-01
POI-0049,PO-0042,MAT-CO-SULF,CTR-012,10400,5000,KG,2026-08-19,2026-08-19,32.21,DAP,WH-BUS-01
POI-0050,PO-0043,MAT-CO-SULF,CTR-012,14000,0,KG,2026-08-10,2026-08-10,11.49,FOB,WH-BUS-01
POI-0051,PO-0044,MAT-MN-SULF,CTR-018,22800,0,KG,2026-09-10,2026-09-17,34.27,FOB,WH-BUS-01
POI-0052,PO-0045,MAT-REE-ND,CTR-027,19100,0,KG,2026-08-14,2026-08-14,69.86,CIF,WH-ICN-01
POI-0053,PO-0045,MAT-GR-NAT,CTR-013,24000,0,KG,2026-08-18,2026-08-18,8.07,CIF,WH-GMI-01
POI-0054,PO-0046,MAT-NI-SULF,CTR-007,21500,21500,KG,2026-06-15,2026-06-15,66.43,DAP,WH-ULS-01
POI-0055,PO-0047,MAT-LI-OH,CTR-005,21100,5600,KG,2026-08-16,2026-08-16,49.67,FOB,WH-GMI-01
POI-0056,PO-0047,MAT-LI-CARB,CTR-001,24800,15000,KG,2026-08-31,2026-08-31,65.28,CIF,WH-GMI-01
POI-0057,PO-0048,MAT-MN-SULF,CTR-019,25500,0,KG,2026-09-13,2026-09-20,51.69,FOB,WH-ICN-01
POI-0058,PO-0049,MAT-AL-FOIL,CTR-024,17300,0,KG,2026-08-09,2026-08-16,18.87,CIF,WH-BUS-01
POI-0059,PO-0050,MAT-LI-OH,CTR-005,25500,25500,KG,2026-05-18,2026-05-18,74.94,CIF,WH-GMI-01
POI-0060,PO-0050,MAT-LI-CARB,CTR-001,13600,13600,KG,2026-05-17,2026-05-17,15.85,CIF,WH-BUS-01
POI-0061,PO-0051,MAT-LI-CARB,CTR-002,26000,0,KG,2026-08-07,2026-08-07,24.08,DAP,WH-BUS-01
POI-0062,PO-0051,MAT-LI-OH,CTR-004,8600,0,KG,2026-08-13,2026-08-13,31.41,DAP,WH-GMI-01
POI-0063,PO-0052,MAT-LI-OH,CTR-005,5500,5500,KG,2026-05-08,2026-05-08,22.35,DAP,WH-BUS-01
POI-0064,PO-0052,MAT-LI-CARB,CTR-001,4300,4300,KG,2026-06-21,2026-06-21,18.31,CIF,WH-GMI-01
POI-0065,PO-0053,MAT-MN-SULF,CTR-019,6700,0,KG,2026-08-30,2026-08-30,11.53,FOB,WH-ICN-01
POI-0066,PO-0054,MAT-GR-NAT,CTR-015,10900,0,KG,2026-08-21,2026-08-21,28.58,CIF,WH-ICN-01
POI-0067,PO-0054,MAT-LI-OH,CTR-006,25300,0,KG,2026-08-14,2026-08-14,36.45,FOB,WH-GMI-01
POI-0068,PO-0055,MAT-LI-OH,CTR-005,25100,0,KG,2026-08-19,2026-08-19,54.89,CIF,WH-ULS-01
POI-0069,PO-0055,MAT-LI-CARB,CTR-001,18600,0,KG,2026-08-04,2026-08-04,31.24,DAP,WH-ICN-01
POI-0070,PO-0056,MAT-MN-SULF,CTR-019,25800,6500,KG,2026-08-27,2026-08-27,71,FOB,WH-BUS-01
POI-0071,PO-0057,MAT-CO-SULF,CTR-011,4800,3100,KG,2026-08-13,2026-08-13,54.37,DAP,WH-BUS-01
POI-0072,PO-0058,MAT-MN-SULF,CTR-020,25500,12600,KG,2026-09-06,2026-09-06,41.81,FOB,WH-ULS-01
POI-0073,PO-0059,MAT-NI-SULF,CTR-007,22200,5600,KG,2026-08-31,2026-08-31,31.26,FOB,WH-ICN-01
POI-0074,PO-0060,MAT-CO-SULF,CTR-011,14500,0,KG,2026-08-31,2026-09-07,36.37,CIF,WH-BUS-01
POI-0075,PO-0061,MAT-NI-SULF,CTR-007,13400,0,KG,2026-09-02,2026-09-09,35.12,FOB,WH-BUS-01
POI-0076,PO-0062,MAT-GR-NAT,CTR-014,21400,0,KG,2026-08-28,2026-08-28,65.28,DAP,WH-BUS-01
POI-0077,PO-0063,MAT-GR-NAT,CTR-013,4000,0,KG,2026-09-06,2026-09-13,67.6,DAP,WH-ICN-01
POI-0078,PO-0064,MAT-AL-FOIL,CTR-026,25600,0,KG,2026-08-11,2026-08-11,18.19,CIF,WH-BUS-01
POI-0079,PO-0065,MAT-NI-SULF,CTR-008,6600,6600,KG,2026-04-21,2026-04-21,31.62,DAP,WH-ULS-01
POI-0080,PO-0066,MAT-LI-CARB,CTR-001,15500,0,KG,2026-09-01,2026-09-01,41.49,CIF,WH-BUS-01
POI-0081,PO-0066,MAT-LI-OH,CTR-005,18400,0,KG,2026-08-09,2026-08-09,31.45,DAP,WH-ICN-01
POI-0082,PO-0067,MAT-GR-NAT,CTR-013,21900,0,KG,2026-08-12,2026-08-12,20.07,DAP,WH-GMI-01
POI-0083,PO-0068,MAT-NI-SULF,CTR-008,12900,8200,KG,2026-08-12,2026-08-12,55.44,CIF,WH-GMI-01
POI-0084,PO-0069,MAT-CO-SULF,CTR-010,10000,0,KG,2026-08-04,2026-08-11,25.82,FOB,WH-BUS-01
POI-0085,PO-0070,MAT-CO-SULF,CTR-012,7300,0,KG,2026-08-16,2026-08-23,59.79,DAP,WH-ICN-01
POI-0086,PO-0071,MAT-REE-ND,CTR-028,23800,0,KG,2026-09-09,2026-09-16,36.8,DAP,WH-GMI-01
POI-0087,PO-0072,MAT-CO-SULF,CTR-010,4300,0,KG,2026-08-15,2026-08-22,57.09,DAP,WH-ULS-01
POI-0088,PO-0073,MAT-GR-SYN,CTR-017,24400,13000,KG,2026-08-21,2026-08-21,13.48,DAP,WH-ULS-01
POI-0089,PO-0074,MAT-LI-CARB,CTR-003,4700,0,KG,2026-08-28,2026-08-28,5.15,FOB,WH-ICN-01
POI-0090,PO-0074,MAT-GR-NAT,CTR-015,11200,0,KG,2026-08-17,2026-08-17,28.09,FOB,WH-ICN-01
POI-0091,PO-0075,MAT-LI-CARB,CTR-003,12600,3900,KG,2026-08-22,2026-08-22,47.44,DAP,WH-BUS-01
POI-0092,PO-0075,MAT-LI-OH,CTR-006,10800,4900,KG,2026-09-07,2026-09-07,12.32,CIF,WH-BUS-01
POI-0093,PO-0076,MAT-GR-SYN,CTR-017,22900,0,KG,2026-08-25,2026-09-01,61.03,FOB,WH-ICN-01
POI-0094,PO-0077,MAT-MN-SULF,CTR-019,23400,23400,KG,2026-06-15,2026-06-15,19.92,FOB,WH-BUS-01
POI-0095,PO-0078,MAT-LI-OH,CTR-004,17500,0,KG,2026-09-13,2026-09-13,41.38,DAP,WH-ICN-01
POI-0096,PO-0079,MAT-MN-SULF,CTR-018,5000,1400,KG,2026-08-20,2026-08-20,43.25,CIF,WH-ULS-01
POI-0097,PO-0080,MAT-LI-CARB,CTR-002,4900,2000,KG,2026-09-08,2026-09-08,46.5,DAP,WH-GMI-01
POI-0098,PO-0080,MAT-LI-OH,CTR-004,14600,9100,KG,2026-08-22,2026-08-22,10.46,FOB,WH-ULS-01
POI-0099,PO-0081,MAT-CO-SULF,CTR-010,20800,0,KG,2026-08-16,2026-08-16,39.26,CIF,WH-ULS-01
POI-0100,PO-0082,MAT-LI-OH,CTR-005,22800,0,KG,2026-08-11,2026-08-11,64.67,CIF,WH-ULS-01
POI-0101,PO-0082,MAT-LI-CARB,CTR-001,16200,0,KG,2026-08-10,2026-08-10,43.56,DAP,WH-GMI-01
POI-0102,PO-0083,MAT-NI-SULF,CTR-009,25300,25300,KG,2026-04-16,2026-04-16,65.66,DAP,WH-GMI-01
POI-0103,PO-0084,MAT-GR-NAT,CTR-015,4400,4400,KG,2026-05-19,2026-05-19,41.93,DAP,WH-BUS-01
POI-0104,PO-0085,MAT-NI-SULF,CTR-009,12800,0,KG,2026-09-08,2026-09-08,6.87,FOB,WH-BUS-01
POI-0105,PO-0086,MAT-CO-SULF,CTR-011,11000,0,KG,2026-08-21,2026-08-28,7.48,CIF,WH-BUS-01
POI-0106,PO-0087,MAT-NI-SULF,CTR-007,14600,0,KG,2026-08-30,2026-08-30,24.93,CIF,WH-ULS-01
POI-0107,PO-0088,MAT-GR-NAT,CTR-014,15100,0,KG,2026-08-11,2026-08-11,25.75,CIF,WH-ULS-01
POI-0108,PO-0088,MAT-CO-SULF,CTR-012,17100,0,KG,2026-09-15,2026-09-15,55.75,DAP,WH-BUS-01
POI-0109,PO-0089,MAT-CU-FOIL,CTR-023,14300,0,KG,2026-08-06,2026-08-13,7.98,DAP,WH-ICN-01
POI-0110,PO-0089,MAT-AL-FOIL,CTR-026,24900,0,KG,2026-09-05,2026-09-12,39.14,DAP,WH-GMI-01
POI-0111,PO-0090,MAT-REE-ND,CTR-028,20700,0,KG,2026-09-01,2026-09-08,72.19,CIF,WH-GMI-01
POI-0112,PO-0091,MAT-NI-SULF,CTR-033,5000,0,KG,2026-08-05,,42.5,FOB,WH-ICN-01
POI-0113,PO-0092,MAT-LI-CARB,CTR-034,4000,0,KG,2026-08-10,,38.0,FOB,WH-ULS-01
