goods_receipt_id,purchase_order_item_id,received_quantity,received_at,warehouse_id,quality_status,batch_number,quality_released_at
GR-0016,POI-0023,3682,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00017,2026-07-06T14:00:00+09:00
GR-0017,POI-0024,10804,2026-07-08T11:00:00+09:00,WH-ULS-01,QUALITY_HOLD,BATCH-00018,2026-07-09T14:00:00+09:00
GR-0018,POI-0024,12196,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00019,2026-07-06T14:00:00+09:00
GR-0019,POI-0025,6796,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00020,2026-07-09T14:00:00+09:00
GR-0020,POI-0025,3904,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00021,2026-07-06T14:00:00+09:00
GR-0021,POI-0026,10446,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00022,2026-07-09T14:00:00+09:00
GR-0022,POI-0026,4954,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00023,2026-07-06T14:00:00+09:00
GR-0023,POI-0027,2392,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00024,2026-07-09T14:00:00+09:00
GR-0024,POI-0027,1808,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00025,2026-07-06T14:00:00+09:00
GR-0025,POI-0028,10326,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00026,2026-07-09T14:00:00+09:00
GR-0026,POI-0028,7374,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00027,2026-07-06T14:00:00+09:00
GR-0027,POI-0031,9609,2026-07-08T11:00:00+09:00,WH-BUS-01,QUALITY_HOLD,BATCH-00028,2026-07-09T14:00:00+09:00
GR-0028,POI-0031,6491,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00029,2026-07-06T14:00:00+09:00
GR-0029,POI-0038,14565,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00030,2026-07-09T14:00:00+09:00
GR-0030,POI-0038,10535,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00031,2026-07-06T14:00:00+09:00
GR-0031,POI-0039,3397,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00032,2026-07-09T14:00:00+09:00
GR-0032,POI-0039,1703,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00033,2026-07-06T14:00:00+09:00
GR-0033,POI-0040,2438,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00034,2026-07-09T14:00:00+09:00
GR-0034,POI-0040,1262,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00035,2026-07-06T14:00:00+09:00
GR-0035,POI-0043,3468,2026-07-08T11:00:00+09:00,WH-ICN-01,QUALITY_HOLD,BATCH-00036,2026-07-09T14:00:00+09:00
GR-0036,POI-0043,2032,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00037,2026-07-06T14:00:00+09:00
GR-0037,POI-0048,5721,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00038,2026-07-09T14:00:00+09:00
GR-0038,POI-0048,5479,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00039,2026-07-06T14:00:00+09:00
GR-0039,POI-0049,2350,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00040,2026-07-09T14:00:00+09:00
GR-0040,POI-0049,2650,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00041,2026-07-06T14:00:00+09:00
GR-0041,POI-0054,11788,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00042,2026-07-09T14:00:00+09:00
GR-0042,POI-0054,9712,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00043,2026-07-06T14:00:00+09:00
GR-0043,POI-0055,3024,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00044,2026-07-09T14:00:00+09:00
GR-0044,POI-0055,2576,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00045,2026-07-06T14:00:00+09:00
GR-0045,POI-0056,10194,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00046,2026-07-09T14:00:00+09:00
GR-0046,POI-0056,4806,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00047,2026-07-06T14:00:00+09:00
GR-0047,POI-0059,15476,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00048,2026-07-09T14:00:00+09:00
GR-0048,POI-0059,10024,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00049,2026-07-06T14:00:00+09:00
GR-0049,POI-0060,7873,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00050,2026-07-09T14:00:00+09:00
GR-0050,POI-0060,5727,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00051,2026-07-06T14:00:00+09:00
GR-0051,POI-0063,3780,2026-07-08T11:00:00+09:00,WH-BUS-01,QUALITY_HOLD,BATCH-00052,2026-07-09T14:00:00+09:00
GR-0052,POI-0063,1720,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00053,2026-07-06T14:00:00+09:00
GR-0053,POI-0064,2107,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00054,2026-07-09T14:00:00+09:00
GR-0054,POI-0064,2193,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00055,2026-07-06T14:00:00+09:00
GR-0055,POI-0070,4277,2026-07-08T11:00:00+09:00,WH-BUS-01,QUALITY_HOLD,BATCH-00056,2026-07-09T14:00:00+09:00
GR-0056,POI-0070,2223,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00057,2026-07-06T14:00:00+09:00
GR-0057,POI-0071,1756,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00058,2026-07-09T14:00:00+09:00
GR-0058,POI-0071,1344,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00059,2026-07-06T14:00:00+09:00
GR-0059,POI-0072,7256,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00060,2026-07-09T14:00:00+09:00
GR-0060,POI-0072,5344,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00061,2026-07-06T14:00:00+09:00
GR-0061,POI-0073,2571,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00062,2026-07-09T14:00:00+09:00
GR-0062,POI-0073,3029,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00063,2026-07-06T14:00:00+09:00
GR-0063,POI-0079,4572,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00064,2026-07-09T14:00:00+09:00
GR-0064,POI-0079,2028,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00065,2026-07-06T14:00:00+09:00
GR-0065,POI-0083,5231,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00066,2026-07-09T14:00:00+09:00
GR-0066,POI-0083,2969,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00067,2026-07-06T14:00:00+09:00
GR-0067,POI-0088,6279,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00068,2026-07-09T14:00:00+09:00
GR-0068,POI-0088,6721,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00069,2026-07-06T14:00:00+09:00
GR-0069,POI-0091,2615,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00070,2026-07-09T14:00:00+09:00
GR-0070,POI-0091,1285,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00071,2026-07-06T14:00:00+09:00
GR-0071,POI-0092,2374,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00072,2026-07-09T14:00:00+09:00
GR-0072,POI-0092,2526,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00073,2026-07-06T14:00:00+09:00
GR-0073,POI-0094,12551,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00074,2026-07-09T14:00:00+09:00
GR-0074,POI-0094,10849,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00075,2026-07-06T14:00:00+09:00
GR-0075,POI-0096,706,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00076,2026-07-09T14:00:00+09:00
GR-0076,POI-0096,694,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00077,2026-07-06T14:00:00+09:00
GR-0077,POI-0097,1053,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00078,2026-07-09T14:00:00+09:00
GR-0078,POI-0097,947,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00079,2026-07-06T14:00:00+09:00
GR-0079,POI-0098,5437,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00080,2026-07-09T14:00:00+09:00
GR-0080,POI-0098,3663,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00081,2026-07-06T14:00:00+09:00
GR-0081,POI-0102,12360,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00082,2026-07-09T14:00:00+09:00
GR-0082,POI-0102,12940,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00083,2026-07-06T14:00:00+09:00
GR-0083,POI-0103,2604,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00084,2026-07-09T14:00:00+09:00
GR-0084,POI-0103,1796,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00085,2026-07-06T14:00:00+09:00
